Gene1,Gene2,Label
750.0,381.0,1.0
489.0,54.0,1.0
105.0,1038.0,1.0
68.0,747.0,1.0
334.0,102.0,1.0
1052.0,647.0,1.0
877.0,472.0,1.0
1076.0,742.0,1.0
1035.0,447.0,1.0
190.0,744.0,1.0
1022.0,292.0,1.0
1022.0,977.0,1.0
334.0,610.0,1.0
717.0,293.0,1.0
536.0,1083.0,1.0
511.0,1075.0,1.0
105.0,1122.0,1.0
819.0,576.0,1.0
190.0,438.0,1.0
68.0,777.0,1.0
138.0,471.0,1.0
877.0,378.0,1.0
190.0,26.0,1.0
780.0,206.0,1.0
489.0,956.0,1.0
1040.0,1007.0,1.0
717.0,945.0,1.0
156.0,1195.0,1.0
1076.0,16.0,1.0
156.0,543.0,1.0
334.0,880.0,1.0
1189.0,495.0,1.0
280.0,746.0,1.0
1130.0,1157.0,1.0
92.0,473.0,1.0
1156.0,836.0,1.0
595.0,927.0,1.0
489.0,949.0,1.0
68.0,395.0,1.0
877.0,475.0,1.0
912.0,960.0,1.0
317.0,693.0,1.0
1076.0,157.0,1.0
1076.0,1230.0,1.0
1130.0,85.0,1.0
781.0,324.0,1.0
1076.0,267.0,1.0
567.0,544.0,1.0
877.0,83.0,1.0
156.0,1230.0,1.0
780.0,1070.0,1.0
280.0,427.0,1.0
190.0,330.0,1.0
819.0,519.0,1.0
459.0,893.0,1.0
68.0,426.0,1.0
334.0,1065.0,1.0
750.0,182.0,1.0
1214.0,113.0,1.0
1035.0,852.0,1.0
787.0,769.0,1.0
368.0,838.0,1.0
1052.0,426.0,1.0
717.0,628.0,1.0
119.0,127.0,1.0
928.0,841.0,1.0
156.0,1092.0,1.0
156.0,856.0,1.0
1081.0,518.0,1.0
830.0,369.0,1.0
68.0,253.0,1.0
511.0,741.0,1.0
1215.0,1226.0,1.0
1155.0,698.0,1.0
877.0,2.0,1.0
1028.0,67.0,1.0
780.0,515.0,1.0
1076.0,342.0,1.0
190.0,565.0,1.0
491.0,715.0,1.0
877.0,180.0,1.0
717.0,1118.0,1.0
1076.0,651.0,1.0
68.0,297.0,1.0
